,estimated_distance,date,n_dispersion,dispersion_length,chisq,dof,energy,Time,GSM_X,GSM_Y,GSM_Z,Storm_phase,DIST,Beta,datetime_str,kp,SW_p,Dst,IMF_By,IMF_Bz,direction,FlLen,goodness_of_fit,region
1058,43.944109,2016-10-14,1.0,5,3.1984198,3.0,3059.41018,1476408760.0,-1.12159752,8.30469414,-1.16323018,3.0,8.46093326,0.26198895400000005,2016-10-14 01:23:20,2.0,0.5310666780000001,-90.75999900000001,20.926800399999998,-10.34279968,para,9.448753467335207,0.36203276989643185,BL
1059,43.954298,2016-09-07,1.0,5,3.1984227,3.0,3059.4098799999997,1473208360.0,-4.55245388,10.453489000000001,-2.6209031,4.0,11.699307399999999,0.046570686019999995,2016-09-07 00:23:20,2.0,1.32070004,-20.4,2.29290004,0.13779999999999998,para,12.72395146517699,0.3620323518278378,Lobe
1060,43.955701,2016-09-03,3.0,5,3.1984226,3.0,3059.4098799999997,1472868760.0,-5.625878379999999,9.45505468,-2.6134308400000004,3.0,11.3085682,0.1454439756,2016-09-03 02:03:20,2.0,2.7710832499999998,-39.2399992,4.62239986,-0.10279999400000009,para,14.555283589822183,0.3620323662439874,BL
1061,43.956623,2016-05-26,1.0,5,3.1984231,3.0,3059.40702,1464227840.0,-7.39672038,1.68391558,-0.6363271179999999,0.0,7.61338402,0.22364297800000005,2016-05-26 01:46:40,0.0,0.887099968,-0.320000002,2.9235999999999995,0.9243999539999999,para,10.307916794557721,0.36203229416323435,BL
1062,43.961953,2016-05-10,4.0,5,3.19842,3.0,3059.40734,1462885960.0,-9.73819514,-6.6504363600000005,-1.8415597600000002,4.0,11.9355008,0.18643596199999998,2016-05-10 13:03:20,3.0,1.51690002,-31.4000004,-0.13760001399999994,-2.8644000399999996,para,14.450592606107405,0.36203274106410044,BL
1063,44.045727,2016-08-25,6.0,5,3.1985047,3.0,3059.4098799999997,1472149640.0,-2.32077526,9.30355788,-3.8802707399999994,4.0,10.3445008,0.76490559,2016-08-25 18:16:40,2.0,2.23320002,-12.76,-0.022799999400000014,0.192400006,para,10.016599237701463,0.36202053075036456,BL
1064,44.045729,2016-08-08,2.0,5,3.1985047,3.0,3059.4098799999997,1470624760.0,-8.6533414,7.919215080000001,-2.1642033599999997,4.0,11.928241600000002,0.175833174,2016-08-08 02:43:20,2.0,1.4866666,-26.5999998,0.12640005680000002,-2.66680006,para,16.72170520661747,0.36202053075036456,BL
1065,44.046017,2016-05-17,7.0,5,3.1985024,3.0,3059.40734,1463509360.0,-5.94437044,-6.250412860000001,-2.27302918,0.0,8.920640079999998,0.16906689,2016-05-17 18:13:20,3.0,2.3420000200000004,-5.28000002,3.91560006,-1.9064000200000002,para,9.725798925084,0.3620208623126322,BL
1066,44.081485,2016-06-03,2.0,5,3.1985831,3.0,3059.4098799999997,1464928040.0,-10.521410999999999,0.6378952659999999,-1.1586773,0.0,10.6045276,0.19473065800000003,2016-06-03 04:16:40,2.0,0.792399978,-7.51999998,-1.73039992,-0.046000001680000006,para,14.926433204158752,0.3620092289585404,BL
1067,44.817637,2016-08-03,2.0,10,14.034189000000001,8.0,2900.2374769999997,1470191100.0,-8.942791519999998,7.74673475,-1.9575650500000001,2.0,11.993186699999999,0.508970304,2016-08-03 02:03:20,2.0,7.880816699999999,8.93999992,20.558599899999997,11.604200129999999,para,17.43480453491847,0.08087863361206571,BL
1068,45.03142022692523,2017-09-16,1.0,4,6.348221989774804,2.0,5269.588,1505570400.0,0.29879719,10.81887725,-4.7313442,3.0,11.81222875,1.7203160025,2017-09-16 13:53:20,2.0,2.690000075,-14.2,0.7310000212500001,1.66499985,para,13.034802329257616,0.04183127577759205,PS
