,energy,pitch angle,flag,flux,eflux,bx,xgsm,ygsm,zgsm,beta,imfBy,imfBz,storm_phase,velocity_o_all,v_par_all,v_perp_all,density_o_all,pressure_o_all,density_h_all,swp,swv,kp,dst,datetime_str,year,kp_gt_2,storm,region,energy_int
661352,1.8421173095703118,174.375,-1.0,447.29801445293685,70605.96257629394,46.679649353027344,-6.5900932003421415,-0.4545275335736839,1.302247348090166,0.2608127745980218,0.0064428700134158134,1.278053283691406,long recovery,5.4027358812524415,2.048484889043361,4.843601195324807,0.1067569075899673,0.020448821062954568,3.723824649023625,2.5690369606018066,386.4318237304688,0.7,-13.0,2018-08-31 09:41:00,2018,False,True,1.0,2.0
661353,1.8421173095703118,174.375,-1.0,406.5850576582618,66813.89974975586,47.7764778137207,-6.525927312601165,-0.4821298588198351,1.2977487851456622,0.2386228889775723,0.1212160885334015,1.228040099143982,long recovery,6.595440189611321,2.4029017895568,5.7608642079802905,0.1038802516331456,0.01931036139797115,3.963639996840005,2.562846660614014,386.421875,0.7,-13.0,2018-08-31 09:43:00,2018,False,True,1.0,2.0
661354,1.8421173095703118,163.125,-1.0,418.57901030979986,64007.70310363769,49.03364562988281,-6.4612745413332595,-0.5097181406252604,1.293174813696951,0.2137098212150595,0.2380952090024948,1.179863691329956,long recovery,6.093955718387481,2.963605545300224,5.129152671716573,0.1186892485796837,0.01979262035486683,4.359647271745281,2.5535037517547607,386.5167236328125,0.7,-13.0,2018-08-31 09:45:00,2018,False,True,1.0,2.0
661355,1.8421173095703118,174.375,-1.0,543.9678283619961,82496.4701965332,50.34194564819336,-6.3961259142861175,-0.5372892138600608,1.288522025250457,0.1908040559511407,0.3666206896305084,1.1239997148513792,long recovery,5.581531896724826,3.676038249739825,3.8899613692502637,0.1308113706910362,0.01978667815193505,4.732708812489746,2.544888496398926,386.7955627441406,0.7,-13.0,2018-08-31 09:47:00,2018,False,True,1.0,2.0
661356,1.8421173095703118,174.375,-1.0,579.7659945996628,113301.07116088869,51.66253662109375,-6.33047235062997,-0.564839712668999,1.283786922962483,0.1730881453696356,0.4565277099609375,1.074999809265137,long recovery,6.035405271015242,2.8625075494109553,5.034762903403322,0.1400684211436729,0.019938600574552233,5.306336827268678,2.533507108688354,387.0805969238281,0.7,-12.5,2018-08-31 09:49:00,2018,False,True,1.0,2.0
269514,1.8421173095703118,16.875,1.0,549.9816817515364,83644.59534301757,51.66253662109375,-6.33047235062997,-0.564839712668999,1.283786922962483,0.1730881453696356,0.4565277099609375,1.074999809265137,long recovery,6.035405271015242,2.8625075494109553,5.034762903403322,0.1400684211436729,0.019938600574552233,5.306336827268678,2.533507108688354,387.0805969238281,0.7,-12.5,2018-08-31 09:49:00,2018,False,True,1.0,2.0
269516,1.8421173095703118,5.625,1.0,734.7638056402395,109487.43119506839,54.77605819702148,-6.197611924180525,-0.6198647878678304,1.274055193376058,0.1396781929145501,0.6304964423179626,0.960212767124176,long recovery,5.879568853256861,2.383219447367386,4.8791505187501665,0.1474908121835297,0.01975125241187358,6.262790083497918,2.539241790771484,387.3704528808594,0.7,-12.0,2018-08-31 09:53:00,2018,False,True,1.0,2.0
661358,1.8421173095703118,163.125,-1.0,655.3674500660468,105840.7899230957,54.77605819702148,-6.197611924180525,-0.6198647878678304,1.274055193376058,0.1396781929145501,0.6304964423179626,0.960212767124176,long recovery,5.879568853256861,2.383219447367386,4.8791505187501665,0.1474908121835297,0.01975125241187358,6.262790083497918,2.539241790771484,387.3704528808594,0.7,-12.0,2018-08-31 09:53:00,2018,False,True,1.0,2.0
661359,1.8421173095703118,151.875,-1.0,711.9994547459613,121443.2996887207,56.50767135620117,-6.130385171774844,-0.6473317299918183,1.269051012343394,0.12534643540482,0.6691429018974304,0.9035714864730836,long recovery,4.812202474519374,2.284879631394478,3.9346361896796807,0.155076621307337,0.020358901522343868,6.729684081338859,2.5453426837921143,387.4625854492188,0.7,-11.5,2018-08-31 09:55:00,2018,False,True,1.0,2.0
269517,1.8421173095703118,5.625,1.0,699.3609094552162,108905.48726196289,56.50767135620117,-6.130385171774844,-0.6473317299918183,1.269051012343394,0.12534643540482,0.6691429018974304,0.9035714864730836,long recovery,4.812202474519374,2.284879631394478,3.9346361896796807,0.155076621307337,0.020358901522343868,6.729684081338859,2.5453426837921143,387.4625854492188,0.7,-11.5,2018-08-31 09:55:00,2018,False,True,1.0,2.0
